codprd;descri;present;;bultos x pallets
;;;;
891;YM NATURA REPUESTO VIAJER;BOLSAS 50 GR;10;420
895;M.COC. NATURA;ESTUCHE 50  SAQ. C/S;5;126
2073;YM NATURA SAB/NARANJA;PAQ. FLOJO X 500 G;12;80
2404;YM NATURA TRADICIONAL C/P;PAQ. FLOJO X 500 G;12;80
2411;M.COC. NATURA;ESTUCHE 100 SAQ. S/S;5;96
2581;TE HURLINGHAM SELECCION;ESTUCHE 100 SAQ. C/S;5;98
2683;YM NATURA PREMIUM SEL. ES;PAQ. PRENSA X 500 GR;6;126
2725;YM NATURA DESPALADA;PAQ. FLOJO X 500 G;12;80
2800;MANZANILLA HURLINGHAM;ESTUCHE 25 SAQ. S/S;10;264
2801;BOLDO HURLINGHAM;ESTUCHE 25 SAQ. S/S;10;264
2802;MEZC HIERBAS HURLINGHAM;ESTUCHE 25 SAQ. S/S;10;264
2811;TE VERDE HURLINGHAM;ESTUCHE 25 SAQ S/S;10;264
2824;YM NATURA SERRANA  MANZAN;PAQ. FLOJO X 500 G;12;80
2825;YM NATURA SUAVE;PAQ. FLOJO X 500 G;12;80
2826;M.COC. NATURA SELECCION;ESTUCHE 25 SAQ S/S;10;192
2827;TE HURLINGHAM SELECCION;ESTUCHE 25 SAQ S/S;10;264
2828;YM NATURA SUAVE;PAQ. FLOJO X 1000 GR;6;78
2834;M.COC. NATURA  SELECCION;ESTUCHE 50  SAQ. S/S;6;160
2836;TE HURLINGHAM SELECCION;ESTUCHE 50 SAQ S/S;5;256
2976;M.COC. COSTA NORTE;ESTUCHE 25 SAQ S/S;10;264
2987;YM NATURA SUAVE FLOJO;PAQ. FLOJO X 250 G;12;152
3075;YM NATURA ORGANICA CAJAS;PAQ. PRENSA X 500 GR;6;126
3102;YM COSTA NORTE SUTIL;PAQ. FLOJO X 500 G;12;80
2801;BOLDO HURLINGHAM;ESTUCHE 25 SAQ. S/S;;264
2774;BOLDO PRIMER PRECIO;ESTUCHE 25  SAQ. S/S;;88
2411;M.COC. NATURA;ESTUCHE 100 SAQ. S/S;;96
2834;M.COC. NATURA  SELECCION;ESTUCHE 50  SAQ. S/S;;160
2826;M.COC. NATURA SELECCION;ESTUCHE 25 SAQ S/S;;192
1050;M.COC. PRIMER PRECIO;ESTUCHE 25  SAQ. S/S;;80
1051;M.COC. PRIMER PRECIO;ESTUCHE 50 SAQ. S/S;;80
2800;MANZANILLA HURLINGHAM;ESTUCHE 25 SAQ. S/S;;264
2773;MANZANILLA PRIMER PRECIO;ESTUCHE 25  SAQ. S/S;;88
2802;MEZC HIERBAS HURLINGHAM;ESTUCHE 25 SAQ. S/S;;264
2775;MEZC HIERBAS PRIMER PRECI;ESTUCHE 25 SAQ. S/S;;88
2836;TE HURLINGHAM SELECCION;ESTUCHE 50 SAQ S/S;;256
